# ZTF Solar System Marshal CHECK_FMO output
# started at 2018-05-12 02:42:21+0000
# start_date                    = 20171001
# end_date                      = 20180510
# min motion rate (arcsec/sec)  = 0.16666666666666666
# limiting magnitude            = 21.0
# max uncertainty limit         = 60.0
#   object    date UT  filter   rate    sundist   geodist  vmag   ecllat  unc range	fracday      
#                              [''/s]     [AU]      [AU]          [deg]      ['']  	      
 2010 GD35   20180329   zg   0.385216   1.0075    0.0412  20.69 66.8483    7.2515  	412257
 2010 GD35   20180329   zg   0.386585   1.0076    0.0411  20.68 66.8592    7.2369  	432014
 2010 GD35   20180329   zg   0.388017   1.0077    0.0411  20.67 66.8703    7.2185  	456586
 2010 GD35   20180329   zg   0.388976   1.0078    0.0410  20.66 66.8773    7.2033  	477350
 2010 GD35   20180329   zg   0.389790   1.0080    0.0410  20.65 66.8827    7.1851  	501030
 2010 GD35   20180330   zg   0.410799   1.0128    0.0399  20.36 65.6515    6.3752  	409896
 2010 GD35   20180330   zg   0.411850   1.0129    0.0399  20.35 65.5755    6.3489  	435104
 2010 GD35   20180330   zg   0.411977   1.0130    0.0399  20.35 65.5636    6.3448  	438947
 2010 GD35   20180330   zg   0.412006   1.0130    0.0399  20.35 65.5608    6.3439  	439884
 2010 GD35   20180330   zg   0.412812   1.0132    0.0399  20.34 65.4382    6.3032  	478218
 2010 GD35   20180330   zg   0.412830   1.0132    0.0399  20.34 65.4318    6.3013  	480185
 2010 GD35   20180330   zg   0.412838   1.0132    0.0399  20.34 65.4287    6.2994  	481100
 2010 GD35   20180330   zg   0.412888   1.0133    0.0398  20.33 65.3632    6.2787  	500671
 2010 GD35   20180331   zg   0.414122   1.0178    0.0397  20.11 61.5377    5.3029  	363380
 2010 GD35   20180331   zg   0.415259   1.0180    0.0397  20.10 61.3167    5.2546  	402801
 2010 GD35   20180331   zg   0.415275   1.0180    0.0397  20.10 61.3114    5.2537  	403738
 2010 GD35   20180331   zg   0.415493   1.0181    0.0397  20.10 61.2136    5.2321  	420856
 2010 GD35   20180331   zg   0.415538   1.0182    0.0397  20.10 61.1011    5.2092  	440359
 2010 GD35   20180331   zg   0.414904   1.0184    0.0398  20.09 60.8593    5.1582  	481528
 2010 GD35   20180331   zg   0.414204   1.0185    0.0398  20.08 60.7333    5.1314  	502674
 2010 GD35   20180331   zg   0.414181   1.0185    0.0398  20.08 60.7297    5.1305  	503194
 2010 GD35   20180402   zg   0.363622   1.0278    0.0425  19.86 48.5413    3.0413  	355822
 2010 GD35   20180402   zg   0.363087   1.0279    0.0426  19.85 48.3697    3.0169  	380370
 2010 GD35   20180402   zg   0.361620   1.0281    0.0427  19.85 48.0976    2.9789  	419271
 2010 GD35   20180403   zg   0.321124   1.0325    0.0453  19.86 42.1013    2.2370  	329988
 2010 GD35   20180403   zg   0.320933   1.0326    0.0453  19.86 42.0446    2.2307  	338738
 2010 GD35   20180403   zg   0.320911   1.0326    0.0454  19.86 42.0387    2.2292  	339653
 2010 GD35   20180403   zg   0.320889   1.0326    0.0454  19.86 42.0327    2.2292  	340579
 2010 GD35   20180406   zr   0.200717   1.0459    0.0573  20.20 26.8561    1.1720  	216435
 2010 GD35   20180406   zr   0.200697   1.0460    0.0574  20.20 26.7650    1.1685  	237731
 2010 GD35   20180406   zr   0.200670   1.0460    0.0575  20.20 26.7390    1.1671  	243831
 2010 GD35   20180406   zi   0.197846   1.0466    0.0581  20.23 26.2235    1.1496  	364340
